id,latitude,longitude,price,neighbourhood_cleansed,review_scores_rating,availability_365
8557304,37.75345967,-122.4107124,$190.00 ,Mission,94,286
15176444,37.75378961,-122.4247182,$275.00 ,Mission,80,179
817279,37.7575786,-122.4184603,$190.00 ,Mission,88,34
14656080,37.7664538,-122.4233685,$109.00 ,Mission,96,58
9590125,37.75719643,-122.4236225,$129.00 ,Mission,88,178
1937575,37.75770488,-122.4084114,$170.00 ,Mission,91,12
13815224,37.75754868,-122.4168523,$350.00 ,Mission,97,111
14520477,37.7545432,-122.4036303,$139.00 ,Mission,94,333
11276421,37.76450721,-122.422749,$199.00 ,Mission,93,76
10832099,37.7605058,-122.423486,$250.00 ,Mission,96,116
6604799,37.74821961,-122.4182616,$160.00 ,Mission,98,360
8506292,37.76574542,-122.4248929,$190.00 ,Mission,99,10
4571468,37.75972296,-122.4235,$235.00 ,Mission,98,311
10207235,37.75844059,-122.4067482,$250.00 ,Mission,92,310
17237462,37.75113789,-122.4078503,$30.00 ,Mission,100,182
14732134,37.76078107,-122.4207446,$99.00 ,Mission,100,9
3269061,37.76360058,-122.4059377,$110.00 ,Mission,95,9
3946571,37.75819708,-122.41983,$115.00 ,Mission,97,354
12094295,37.75932101,-122.4226167,$425.00 ,Mission,97,76
14305759,37.75152098,-122.4085441,$100.00 ,Mission,85,329
1961036,37.75995083,-122.4217303,$275.00 ,Mission,98,34
8030646,37.75031713,-122.4166774,$99.00 ,Mission,98,270
330736,37.76592346,-122.4062842,$275.00 ,Mission,99,33
8308630,37.75828897,-122.4196305,$99.00 ,Mission,96,307
17641455,37.76837489,-122.4254493,$80.00 ,Mission,100,57
12954602,37.74971414,-122.4162278,$115.00 ,Mission,97,52
4392795,37.75536768,-122.4074915,$204.00 ,Mission,92,335
2115333,37.75112314,-122.4060763,$165.00 ,Mission,100,20
6987656,37.76795945,-122.4249723,$120.00 ,Mission,94,219
17024714,37.74877773,-122.4247902,$100.00 ,Mission,100,68
14074818,37.75078037,-122.4151974,$250.00 ,Mission,100,38
5850037,37.75765729,-122.4113159,$185.00 ,Mission,99,158
8799100,37.76176009,-122.4249238,$545.00 ,Mission,98,9
6914642,37.75450608,-122.4106733,$228.00 ,Mission,90,47
229912,37.75376649,-122.4103566,$400.00 ,Mission,100,44
17669758,37.76874443,-122.4251457,$69.00 ,Mission,100,65
6987855,37.7664458,-122.4232337,$120.00 ,Mission,94,225
10946978,37.75783241,-122.4136781,$300.00 ,Mission,100,4
15665568,37.76246867,-122.423918,$120.00 ,Mission,100,91
15648718,37.75598983,-122.4129735,$150.00 ,Mission,100,68
11225011,37.75246783,-122.4117295,$135.00 ,Mission,97,278
17483208,37.75325312,-122.4053275,$75.00 ,Mission,100,5
5969483,37.75750296,-122.4205346,$90.00 ,Mission,95,351
4277696,37.77069713,-122.4237558,$175.00 ,Mission,100,364
8701367,37.75041771,-122.415119,$150.00 ,Mission,100,8
6915497,37.75338256,-122.4063336,$400.00 ,Mission,97,173
14075285,37.75163627,-122.4139336,$150.00 ,Mission,88,281
1584021,37.76662641,-122.4201955,$395.00 ,Mission,98,322
3081560,37.75363799,-122.4215408,$140.00 ,Mission,100,245
9197404,37.75566325,-122.4186043,$100.00 ,Mission,99,76
10699980,37.75353368,-122.4249337,$150.00 ,Mission,91,361
7931074,37.75076257,-122.4179731,$185.00 ,Mission,100,135
804015,37.75116157,-122.4140124,$130.00 ,Mission,95,12
15860884,37.75338894,-122.4147882,$80.00 ,Mission,98,10
15073660,37.76888271,-122.4223197,$200.00 ,Mission,93,348
2277754,37.75017507,-122.4046818,$80.00 ,Mission,98,331
14670800,37.7585659,-122.4188985,$102.00 ,Mission,97,172
9196933,37.76353981,-122.4252409,$95.00 ,Mission,100,91
4423944,37.74960107,-122.4206086,$250.00 ,Mission,92,158
3883252,37.7682904,-122.424787,$168.00 ,Mission,94,24
8241372,37.75892196,-122.422983,$139.00 ,Mission,93,293
13550396,37.75481544,-122.410537,$80.00 ,Mission,100,89
647303,37.75688086,-122.4235543,$300.00 ,Mission,100,331
99094,37.76808631,-122.4243903,$195.00 ,Mission,97,53
377569,37.75131194,-122.4079456,$70.00 ,Mission,89,302
10912441,37.75791863,-122.4113424,$160.00 ,Mission,95,338
1655446,37.75292236,-122.4231987,$539.00 ,Mission,94,340
279184,37.75290497,-122.4155266,$450.00 ,Mission,100,98
10945139,37.77087834,-122.4234169,$254.00 ,Mission,100,20
17285258,37.75846624,-122.4125109,$180.00 ,Mission,94,107
4767863,37.76036125,-122.423686,$385.00 ,Mission,98,310
13497122,37.73022812,-122.4581135,$200.00 ,West of Twin Peaks,100,96
16675371,37.72839788,-122.4589381,$115.00 ,West of Twin Peaks,100,99
